"Station","Period","Date","Swath","SpeciesCode","Density"
1,1,"08/27/80","22R",0557,0.05
1,1,"08/27/80","32L",0557,0.00
1,1,"08/27/80","39R",0557,0.00
1,1,"08/27/80","45R",0557,0.00
1,1,"08/27/80","10R",0558,0.00
1,1,"08/27/80","22R",0558,0.00
1,1,"08/27/80","32L",0558,0.00
1,1,"08/27/80","39R",0558,0.00
1,1,"08/27/80","45R",0558,0.10
1,1,"08/27/80","10R",0574,0.00
1,1,"08/27/80","22R",0574,0.00
1,1,"08/27/80","32L",0574,0.05
1,1,"08/27/80","39R",0574,0.00
1,1,"08/27/80","45R",0574,0.00
1,1,"08/27/80","10R",0575,0.60
1,1,"08/27/80","22R",0575,0.15
1,1,"08/27/80","32L",0575,0.15
1,1,"08/27/80","39R",0575,0.15
1,1,"08/27/80","45R",0575,0.15
1,1,"08/27/80","10R",0589,0.30
1,1,"08/27/80","22R",0589,0.10
1,1,"08/27/80","32L",0589,0.10
1,1,"08/27/80","39R",0589,0.20
1,1,"08/27/80","45R",0589,0.15
1,2,"04/25/81","10R",0024,0.00
1,2,"04/25/81","22R",0024,0.05
1,2,"04/25/81","32L",0024,0.00
1,2,"04/25/81","39R",0024,0.00
1,2,"04/25/81","45R",0024,0.05
1,2,"04/25/81","10R",0029,0.00
1,2,"04/25/81","22R",0029,0.35
1,2,"04/25/81","32L",0029,0.00
1,2,"04/25/81","39R",0029,0.30
1,2,"04/25/81","45R",0029,1.30
1,2,"04/25/81","10R",0030,0.65
1,2,"04/25/81","22R",0030,4.85
1,2,"04/25/81","32L",0030,0.40
1,2,"04/25/81","39R",0030,6.60
1,2,"04/25/81","45R",0030,5.15
1,2,"04/25/81","10R",0066,0.65
1,2,"04/25/81","22R",0066,0.25
1,2,"04/25/81","32L",0066,0.75
1,2,"04/25/81","39R",0066,0.15
1,2,"04/25/81","45R",0066,0.30
1,2,"04/25/81","10R",0067,0.00
1,2,"04/25/81","22R",0067,0.00
1,2,"04/25/81","32L",0067,0.00
1,2,"04/25/81","39R",0067,0.00
1,2,"04/25/81","45R",0067,0.00
1,2,"04/25/81","10R",0075,0.00
1,2,"04/25/81","22R",0075,0.00
1,2,"04/25/81","32L",0075,0.00
1,2,"04/25/81","39R",0075,0.00
1,2,"04/25/81","45R",0075,0.00
1,2,"04/25/81","10R",0081,0.00
1,2,"04/25/81","22R",0081,0.00
1,2,"04/25/81","32L",0081,0.00
1,2,"04/25/81","39R",0081,0.00
1,2,"04/25/81","45R",0081,0.00
1,2,"04/25/81","10R",0082,0.00
1,2,"04/25/81","22R",0082,0.00
1,2,"04/25/81","32L",0082,0.00
1,2,"04/25/81","39R",0082,0.00
1,2,"04/25/81","45R",0082,0.00
1,2,"04/25/81","10R",0085,0.00
1,2,"04/25/81","22R",0085,0.00
1,2,"04/25/81","32L",0085,0.00
1,2,"04/25/81","39R",0085,0.00
1,2,"04/25/81","45R",0085,0.00
1,2,"04/25/81","10R",0089,0.30
1,2,"04/25/81","22R",0089,0.55
1,2,"04/25/81","32L",0089,0.80
1,2,"04/25/81","39R",0089,0.60
1,2,"04/25/81","45R",0089,0.70
1,2,"04/25/81","10R",0092,0.00
1,2,"04/25/81","22R",0092,0.10
1,2,"04/25/81","32L",0092,0.05
1,2,"04/25/81","39R",0092,0.15
1,2,"04/25/81","45R",0092,0.05
1,2,"04/25/81","10R",0152,0.00
1,2,"04/25/81","22R",0152,0.00
1,2,"04/25/81","32L",0152,0.00
1,2,"04/25/81","39R",0152,0.00
1,2,"04/25/81","45R",0152,0.00
1,2,"04/25/81","10R",0553,4.70
1,2,"04/25/81","22R",0553,2.20
1,2,"04/25/81","32L",0553,1.75
1,2,"04/25/81","39R",0553,1.05
1,2,"04/25/81","45R",0553,0.85
1,2,"04/25/81","10R",0556,1.75
1,2,"04/25/81","22R",0556,0.45
1,2,"04/25/81","32L",0556,1.45
1,2,"04/25/81","39R",0556,0.40
1,2,"04/25/81","45R",0556,0.40
1,2,"04/25/81","10R",0557,0.10
1,2,"04/25/81","22R",0557,0.25
1,2,"04/25/81","32L",0557,0.35
1,2,"04/25/81","39R",0557,3.00
1,2,"04/25/81","45R",0557,2.70
1,2,"04/25/81","10R",0558,0.10
1,2,"04/25/81","22R",0558,1.00
1,2,"04/25/81","32L",0558,7.55
1,2,"04/25/81","39R",0558,6.35
1,2,"04/25/81","45R",0558,2.90
1,2,"04/25/81","10R",0574,0.00
1,2,"04/25/81","22R",0574,0.00
1,2,"04/25/81","32L",0574,0.00
1,2,"04/25/81","39R",0574,0.00
1,2,"04/25/81","45R",0574,0.10
1,2,"04/25/81","10R",0575,1.15
1,2,"04/25/81","22R",0575,0.20
1,2,"04/25/81","32L",0575,0.15
1,2,"04/25/81","39R",0575,0.05
1,2,"04/25/81","45R",0575,0.00
1,2,"04/25/81","10R",0589,0.05
1,2,"04/25/81","22R",0589,0.05
1,2,"04/25/81","32L",0589,0.15
1,2,"04/25/81","39R",0589,0.20
1,2,"04/25/81","45R",0589,0.10
1,3,"10/24/81","10R",0024,0.00
1,3,"10/24/81","22R",0024,0.00
1,3,"10/24/81","32L",0024,0.00
1,3,"10/24/81","39R",0024,0.00
1,3,"10/24/81","45R",0024,0.05
1,3,"10/24/81","10R",0029,0.00
1,3,"10/24/81","22R",0029,0.00
1,3,"10/24/81","32L",0029,0.00
1,3,"10/24/81","39R",0029,0.30
1,3,"10/24/81","45R",0029,0.45
1,3,"10/24/81","10R",0030,0.50
1,3,"10/24/81","22R",0030,0.75
1,3,"10/24/81","32L",0030,1.10
1,3,"10/24/81","39R",0030,5.85
1,3,"10/24/81","45R",0030,1.00
1,3,"10/24/81","10R",0066,0.05
1,3,"10/24/81","22R",0066,0.00
1,3,"10/24/81","32L",0066,0.10
1,3,"10/24/81","39R",0066,0.40
1,3,"10/24/81","45R",0066,0.20
1,3,"10/24/81","10R",0067,0.00
1,3,"10/24/81","22R",0067,0.00
1,3,"10/24/81","32L",0067,0.00
1,3,"10/24/81","39R",0067,0.00
1,3,"10/24/81","45R",0067,0.00
1,3,"10/24/81","10R",0075,0.00
1,3,"10/24/81","22R",0075,0.00
1,3,"10/24/81","32L",0075,0.00
1,3,"10/24/81","39R",0075,0.00
1,3,"10/24/81","45R",0075,0.00
1,3,"10/24/81","10R",0081,0.00
1,3,"10/24/81","22R",0081,0.00
1,3,"10/24/81","32L",0081,0.00
1,3,"10/24/81","39R",0081,0.00
1,3,"10/24/81","45R",0081,0.00
1,3,"10/24/81","10R",0082,0.00
1,3,"10/24/81","22R",0082,0.00
1,3,"10/24/81","32L",0082,0.00
1,3,"10/24/81","39R",0082,0.00
1,3,"10/24/81","45R",0082,0.00
1,3,"10/24/81","10R",0085,0.00
1,3,"10/24/81","22R",0085,0.00
1,3,"10/24/81","32L",0085,0.05
1,3,"10/24/81","39R",0085,0.00
1,3,"10/24/81","45R",0085,0.00
1,3,"10/24/81","10R",0089,0.15
1,3,"10/24/81","22R",0089,0.50
1,3,"10/24/81","32L",0089,0.55
1,3,"10/24/81","39R",0089,0.65
1,3,"10/24/81","45R",0089,0.40
1,3,"10/24/81","10R",0092,0.00
1,3,"10/24/81","22R",0092,0.10
1,3,"10/24/81","32L",0092,0.10
1,3,"10/24/81","39R",0092,0.05
1,3,"10/24/81","45R",0092,0.05
1,3,"10/24/81","10R",0152,0.00
1,3,"10/24/81","22R",0152,0.00
1,3,"10/24/81","32L",0152,0.00
1,3,"10/24/81","39R",0152,0.00
1,3,"10/24/81","45R",0152,0.00
1,3,"10/24/81","10R",0553,4.15
1,3,"10/24/81","22R",0553,1.35
1,3,"10/24/81","32L",0553,3.00
1,3,"10/24/81","39R",0553,1.15
1,3,"10/24/81","45R",0553,0.80
1,3,"10/24/81","10R",0556,1.50
1,3,"10/24/81","22R",0556,0.45
1,3,"10/24/81","32L",0556,2.60
1,3,"10/24/81","39R",0556,1.10
1,3,"10/24/81","45R",0556,0.45
1,3,"10/24/81","10R",0557,0.05
1,3,"10/24/81","22R",0557,0.80
1,3,"10/24/81","32L",0557,0.70
1,3,"10/24/81","39R",0557,1.15
1,3,"10/24/81","45R",0557,1.45
1,3,"10/24/81","10R",0558,1.10
1,3,"10/24/81","22R",0558,1.05
1,3,"10/24/81","32L",0558,0.55
1,3,"10/24/81","39R",0558,0.95
1,3,"10/24/81","45R",0558,0.90
1,3,"10/24/81","10R",0574,0.00
1,3,"10/24/81","22R",0574,0.00
1,3,"10/24/81","32L",0574,0.15
1,3,"10/24/81","39R",0574,0.00
1,3,"10/24/81","45R",0574,0.00
1,3,"10/24/81","10R",0575,0.35
1,3,"10/24/81","22R",0575,0.00
1,3,"10/24/81","32L",0575,0.50
1,3,"10/24/81","39R",0575,0.40
1,3,"10/24/81","45R",0575,0.15
1,3,"10/24/81","10R",0589,0.15
1,3,"10/24/81","22R",0589,0.45
1,3,"10/24/81","32L",0589,0.95
1,3,"10/24/81","39R",0589,1.40
1,3,"10/24/81","45R",0589,0.75
1,4,"04/29/82","10R",0024,0.00
1,4,"04/29/82","22R",0024,0.00
1,4,"04/29/82","32L",0024,0.05
1,4,"04/29/82","39R",0024,0.05
1,4,"04/29/82","45R",0024,0.00
1,4,"04/29/82","10R",0029,0.00
1,4,"04/29/82","22R",0029,0.00
1,4,"04/29/82","32L",0029,0.00
1,4,"04/29/82","39R",0029,0.20
1,4,"04/29/82","45R",0029,1.25
1,4,"04/29/82","10R",0030,0.65
1,4,"04/29/82","22R",0030,3.35
1,4,"04/29/82","32L",0030,1.35
1,4,"04/29/82","39R",0030,7.95
1,4,"04/29/82","45R",0030,3.55
1,4,"04/29/82","10R",0066,0.70
1,4,"04/29/82","22R",0066,0.55
1,4,"04/29/82","32L",0066,0.05
1,4,"04/29/82","39R",0066,0.15
1,4,"04/29/82","45R",0066,0.20
1,4,"04/29/82","10R",0067,0.00
1,4,"04/29/82","22R",0067,0.00
1,4,"04/29/82","32L",0067,0.00
1,4,"04/29/82","39R",0067,0.00
1,4,"04/29/82","45R",0067,0.00
1,4,"04/29/82","10R",0075,0.00
1,4,"04/29/82","22R",0075,0.00
1,4,"04/29/82","32L",0075,0.00
1,4,"04/29/82","39R",0075,0.00
1,4,"04/29/82","45R",0075,0.00
1,4,"04/29/82","10R",0081,0.00
1,4,"04/29/82","22R",0081,0.00
1,4,"04/29/82","32L",0081,0.00
1,4,"04/29/82","39R",0081,0.00
1,4,"04/29/82","45R",0081,0.00
1,4,"04/29/82","10R",0082,0.00
1,4,"04/29/82","22R",0082,0.00
1,4,"04/29/82","32L",0082,0.00
1,4,"04/29/82","39R",0082,0.00
1,4,"04/29/82","45R",0082,0.00
1,4,"04/29/82","10R",0085,0.00
1,4,"04/29/82","22R",0085,0.10
1,4,"04/29/82","32L",0085,0.00
1,4,"04/29/82","39R",0085,0.00
1,4,"04/29/82","45R",0085,0.00
1,4,"04/29/82","10R",0089,0.15
1,4,"04/29/82","22R",0089,0.80
1,4,"04/29/82","32L",0089,0.30
1,4,"04/29/82","39R",0089,0.20
1,4,"04/29/82","45R",0089,0.35
1,4,"04/29/82","10R",0092,0.00
1,4,"04/29/82","22R",0092,0.00
1,4,"04/29/82","32L",0092,0.00
1,4,"04/29/82","39R",0092,0.00
1,4,"04/29/82","45R",0092,0.05
1,4,"04/29/82","10R",0152,0.00
1,4,"04/29/82","22R",0152,0.00
1,4,"04/29/82","32L",0152,0.00
1,4,"04/29/82","39R",0152,0.00
1,4,"04/29/82","45R",0152,0.00
1,4,"04/29/82","10R",0553,4.10
1,4,"04/29/82","22R",0553,1.45
1,4,"04/29/82","32L",0553,3.50
1,4,"04/29/82","39R",0553,2.50
1,4,"04/29/82","45R",0553,0.60
1,4,"04/29/82","10R",0556,3.05
1,4,"04/29/82","22R",0556,1.00
1,4,"04/29/82","32L",0556,1.60
1,4,"04/29/82","39R",0556,1.90
1,4,"04/29/82","45R",0556,1.25
1,4,"04/29/82","10R",0557,0.20
1,4,"04/29/82","22R",0557,0.75
1,4,"04/29/82","32L",0557,0.20
1,4,"04/29/82","39R",0557,0.10
1,4,"04/29/82","45R",0557,0.10
1,4,"04/29/82","10R",0558,0.10
1,4,"04/29/82","22R",0558,0.00
1,4,"04/29/82","32L",0558,0.35
1,4,"04/29/82","39R",0558,0.20
1,4,"04/29/82","45R",0558,0.00
1,4,"04/29/82","10R",0574,0.65
1,4,"04/29/82","22R",0574,0.60
1,4,"04/29/82","32L",0574,0.15
1,4,"04/29/82","39R",0574,0.15
1,4,"04/29/82","45R",0574,0.20
1,4,"04/29/82","10R",0575,0.00
1,4,"04/29/82","22R",0575,0.00
1,4,"04/29/82","32L",0575,0.80
1,4,"04/29/82","39R",0575,0.45
1,4,"04/29/82","45R",0575,0.25
1,4,"04/29/82","10R",0589,0.20
1,4,"04/29/82","22R",0589,0.35
1,4,"04/29/82","32L",0589,0.65
1,4,"04/29/82","39R",0589,1.00
1,4,"04/29/82","45R",0589,0.55
1,5,"10/18/82","10R",0024,0.00
1,5,"10/18/82","22R",0024,0.00
1,5,"10/18/82","32L",0024,0.00
1,5,"10/18/82","39R",0024,0.05
1,5,"10/18/82","45R",0024,0.00
1,5,"10/18/82","10R",0029,0.00
1,5,"10/18/82","22R",0029,0.25
1,5,"10/18/82","32L",0029,0.00
1,5,"10/18/82","39R",0029,0.40
1,5,"10/18/82","45R",0029,0.80
1,5,"10/18/82","10R",0030,0.70
1,5,"10/18/82","22R",0030,4.55
1,5,"10/18/82","32L",0030,0.85
1,5,"10/18/82","39R",0030,6.35
1,5,"10/18/82","45R",0030,3.85
1,5,"10/18/82","10R",0066,0.45
1,5,"10/18/82","22R",0066,0.35
1,5,"10/18/82","32L",0066,0.10
1,5,"10/18/82","39R",0066,0.50
1,5,"10/18/82","45R",0066,0.30
1,5,"10/18/82","10R",0067,0.00
1,5,"10/18/82","22R",0067,0.00
1,5,"10/18/82","32L",0067,0.00
1,5,"10/18/82","39R",0067,0.00
1,5,"10/18/82","45R",0067,0.00
1,5,"10/18/82","10R",0075,0.00
1,5,"10/18/82","22R",0075,0.00
1,5,"10/18/82","32L",0075,0.00
1,5,"10/18/82","39R",0075,0.00
1,5,"10/18/82","45R",0075,0.00
1,5,"10/18/82","10R",0081,0.00
1,5,"10/18/82","22R",0081,0.00
1,5,"10/18/82","32L",0081,0.00
1,5,"10/18/82","39R",0081,0.00
1,5,"10/18/82","45R",0081,0.00
1,5,"10/18/82","10R",0082,0.00
1,5,"10/18/82","22R",0082,0.00
1,5,"10/18/82","32L",0082,0.00
1,5,"10/18/82","39R",0082,0.00
1,5,"10/18/82","45R",0082,0.00
1,5,"10/18/82","10R",0085,0.05
1,5,"10/18/82","22R",0085,0.05
1,5,"10/18/82","32L",0085,0.00
1,5,"10/18/82","39R",0085,0.00
1,5,"10/18/82","45R",0085,0.05
1,5,"10/18/82","10R",0089,0.00
1,5,"10/18/82","22R",0089,0.45
1,5,"10/18/82","32L",0089,0.00
1,5,"10/18/82","39R",0089,0.25
1,5,"10/18/82","45R",0089,0.15
1,5,"10/18/82","10R",0092,0.00
1,5,"10/18/82","22R",0092,0.00
1,5,"10/18/82","32L",0092,0.00
1,5,"10/18/82","39R",0092,0.00
1,5,"10/18/82","45R",0092,0.10
1,5,"10/18/82","10R",0152,0.00
1,5,"10/18/82","22R",0152,0.00
1,5,"10/18/82","32L",0152,0.00
1,5,"10/18/82","39R",0152,0.00
1,5,"10/18/82","45R",0152,0.00
1,5,"10/18/82","10R",0553,9.20
1,5,"10/18/82","22R",0553,2.95
1,5,"10/18/82","32L",0553,4.05
1,5,"10/18/82","39R",0553,2.20
1,5,"10/18/82","45R",0553,1.05
1,5,"10/18/82","10R",0556,2.05
1,5,"10/18/82","22R",0556,0.60
1,5,"10/18/82","32L",0556,2.35
1,5,"10/18/82","39R",0556,1.50
1,5,"10/18/82","45R",0556,0.95
1,5,"10/18/82","10R",0557,0.00
1,5,"10/18/82","22R",0557,0.10
1,5,"10/18/82","32L",0557,0.00
1,5,"10/18/82","39R",0557,0.00
1,5,"10/18/82","45R",0557,0.00
1,5,"10/18/82","10R",0558,0.00
1,5,"10/18/82","22R",0558,0.10
1,5,"10/18/82","32L",0558,0.00
1,5,"10/18/82","39R",0558,0.00
1,5,"10/18/82","45R",0558,0.05
1,5,"10/18/82","10R",0574,0.00
1,5,"10/18/82","22R",0574,0.20
1,5,"10/18/82","32L",0574,0.10
1,5,"10/18/82","39R",0574,0.00
1,5,"10/18/82","45R",0574,0.20
1,5,"10/18/82","10R",0575,1.15
1,5,"10/18/82","22R",0575,0.35
1,5,"10/18/82","32L",0575,0.30
1,5,"10/18/82","39R",0575,0.50
1,5,"10/18/82","45R",0575,0.10
1,5,"10/18/82","10R",0589,0.15
1,5,"10/18/82","22R",0589,0.35
1,5,"10/18/82","32L",0589,0.55
1,5,"10/18/82","39R",0589,0.90
1,5,"10/18/82","45R",0589,0.30
1,6,"05/01/83","10R",0024,0.05
1,6,"05/01/83","22R",0024,0.10
1,6,"05/01/83","32L",0024,0.00
1,6,"05/01/83","39R",0024,0.00
1,6,"05/01/83","45R",0024,0.00
1,6,"05/01/83","10R",0029,0.00
1,6,"05/01/83","22R",0029,0.25
1,6,"05/01/83","32L",0029,0.05
1,6,"05/01/83","39R",0029,0.05
1,6,"05/01/83","45R",0029,1.40
1,6,"05/01/83","10R",0030,1.20
1,6,"05/01/83","22R",0030,7.05
1,6,"05/01/83","32L",0030,2.70
1,6,"05/01/83","39R",0030,8.90
1,6,"05/01/83","45R",0030,6.40
1,6,"05/01/83","10R",0066,0.00
1,6,"05/01/83","22R",0066,0.25
1,6,"05/01/83","32L",0066,0.20
1,6,"05/01/83","39R",0066,0.35
1,6,"05/01/83","45R",0066,0.65
1,6,"05/01/83","10R",0067,0.00
1,6,"05/01/83","22R",0067,0.00
1,6,"05/01/83","32L",0067,0.00
1,6,"05/01/83","39R",0067,0.00
1,6,"05/01/83","45R",0067,0.00
1,6,"05/01/83","10R",0075,0.00
1,6,"05/01/83","22R",0075,0.00
1,6,"05/01/83","32L",0075,0.00
1,6,"05/01/83","39R",0075,0.00
1,6,"05/01/83","45R",0075,0.00
1,6,"05/01/83","10R",0081,0.00
1,6,"05/01/83","22R",0081,0.00
1,6,"05/01/83","32L",0081,0.00
1,6,"05/01/83","39R",0081,0.00
1,6,"05/01/83","45R",0081,0.00
1,6,"05/01/83","10R",0082,0.00
1,6,"05/01/83","22R",0082,0.00
1,6,"05/01/83","32L",0082,0.00
1,6,"05/01/83","39R",0082,0.00
1,6,"05/01/83","45R",0082,0.00
1,6,"05/01/83","10R",0085,0.00
1,6,"05/01/83","22R",0085,0.00
1,6,"05/01/83","32L",0085,0.00
1,6,"05/01/83","39R",0085,0.05
1,6,"05/01/83","45R",0085,0.00
1,6,"05/01/83","10R",0089,0.00
1,6,"05/01/83","22R",0089,0.85
1,6,"05/01/83","32L",0089,0.50
1,6,"05/01/83","39R",0089,0.50
1,6,"05/01/83","45R",0089,0.50
1,6,"05/01/83","10R",0092,0.00
1,6,"05/01/83","22R",0092,0.25
1,6,"05/01/83","32L",0092,0.05
1,6,"05/01/83","39R",0092,0.00
1,6,"05/01/83","45R",0092,0.00
1,6,"05/01/83","10R",0152,0.00
1,6,"05/01/83","22R",0152,0.00
1,6,"05/01/83","32L",0152,0.00
1,6,"05/01/83","39R",0152,0.00
1,6,"05/01/83","45R",0152,0.00
1,6,"05/01/83","10R",0553,9.55
1,6,"05/01/83","22R",0553,2.95
1,6,"05/01/83","32L",0553,5.10
1,6,"05/01/83","39R",0553,2.90
1,6,"05/01/83","45R",0553,1.50
1,6,"05/01/83","10R",0556,2.45
1,6,"05/01/83","22R",0556,0.90
1,6,"05/01/83","32L",0556,1.20
1,6,"05/01/83","39R",0556,0.75
1,6,"05/01/83","45R",0556,0.60
1,6,"05/01/83","10R",0557,0.00
1,6,"05/01/83","22R",0557,0.00
1,6,"05/01/83","32L",0557,0.00
1,6,"05/01/83","39R",0557,0.15
1,6,"05/01/83","45R",0557,0.05
1,6,"05/01/83","10R",0558,0.00
1,6,"05/01/83","22R",0558,1.40
1,6,"05/01/83","32L",0558,0.85
1,6,"05/01/83","39R",0558,1.85
1,6,"05/01/83","45R",0558,1.35
1,6,"05/01/83","10R",0574,0.05
1,6,"05/01/83","22R",0574,0.20
1,6,"05/01/83","32L",0574,0.10
1,6,"05/01/83","39R",0574,0.05
1,6,"05/01/83","45R",0574,0.25
1,6,"05/01/83","10R",0575,0.55
1,6,"05/01/83","22R",0575,0.25
1,6,"05/01/83","32L",0575,0.20
1,6,"05/01/83","39R",0575,0.30
1,6,"05/01/83","45R",0575,0.05
1,6,"05/01/83","10R",0589,0.25
1,6,"05/01/83","22R",0589,0.15
1,6,"05/01/83","32L",0589,0.05
1,6,"05/01/83","39R",0589,0.05
1,6,"05/01/83","45R",0589,0.00
1,7,"09/15/83","10R",0024,0.00
1,7,"09/15/83","22R",0024,0.10
1,7,"09/15/83","32L",0024,0.00
1,7,"09/15/83","39R",0024,0.00
1,7,"09/15/83","45R",0024,0.00
1,7,"09/15/83","10R",0029,0.00
1,7,"09/15/83","22R",0029,0.15
1,7,"09/15/83","32L",0029,0.00
1,7,"09/15/83","39R",0029,0.20
1,7,"09/15/83","45R",0029,1.10
1,7,"09/15/83","10R",0030,0.50
1,7,"09/15/83","22R",0030,4.80
1,7,"09/15/83","32L",0030,1.25
1,7,"09/15/83","39R",0030,2.85
1,7,"09/15/83","45R",0030,3.65
1,7,"09/15/83","10R",0066,0.65
1,7,"09/15/83","22R",0066,0.30
1,7,"09/15/83","32L",0066,0.10
1,7,"09/15/83","39R",0066,0.75
1,7,"09/15/83","45R",0066,0.05
1,7,"09/15/83","10R",0067,0.00
1,7,"09/15/83","22R",0067,0.00
1,7,"09/15/83","32L",0067,0.00
1,7,"09/15/83","39R",0067,0.00
1,7,"09/15/83","45R",0067,0.00
1,7,"09/15/83","10R",0075,0.00
1,7,"09/15/83","22R",0075,0.00
1,7,"09/15/83","32L",0075,0.00
1,7,"09/15/83","39R",0075,0.00
1,7,"09/15/83","45R",0075,0.00
1,7,"09/15/83","10R",0081,0.00
1,7,"09/15/83","22R",0081,0.00
1,7,"09/15/83","32L",0081,0.00
1,7,"09/15/83","39R",0081,0.00
1,7,"09/15/83","45R",0081,0.00
1,7,"09/15/83","10R",0082,0.00
1,7,"09/15/83","22R",0082,0.00
1,7,"09/15/83","32L",0082,0.00
1,7,"09/15/83","39R",0082,0.00
1,7,"09/15/83","45R",0082,0.00
1,7,"09/15/83","10R",0085,0.00
1,7,"09/15/83","22R",0085,0.00
1,7,"09/15/83","32L",0085,0.00
1,7,"09/15/83","39R",0085,0.05
1,7,"09/15/83","45R",0085,0.05
1,7,"09/15/83","10R",0089,0.00
1,7,"09/15/83","22R",0089,0.45
1,7,"09/15/83","32L",0089,0.00
1,7,"09/15/83","39R",0089,0.45
1,7,"09/15/83","45R",0089,0.60
1,7,"09/15/83","10R",0092,0.00
1,7,"09/15/83","22R",0092,0.00
1,7,"09/15/83","32L",0092,0.00
1,7,"09/15/83","39R",0092,0.00
1,7,"09/15/83","45R",0092,0.00
1,7,"09/15/83","10R",0152,0.00
1,7,"09/15/83","22R",0152,0.00
1,7,"09/15/83","32L",0152,0.00
1,7,"09/15/83","39R",0152,0.00
1,7,"09/15/83","45R",0152,0.00
1,7,"09/15/83","10R",0553,9.70
1,7,"09/15/83","22R",0553,3.25
1,7,"09/15/83","32L",0553,4.75
1,7,"09/15/83","39R",0553,2.85
1,7,"09/15/83","45R",0553,1.65
1,7,"09/15/83","10R",0556,2.15
1,7,"09/15/83","22R",0556,0.85
1,7,"09/15/83","32L",0556,1.35
1,7,"09/15/83","39R",0556,0.90
1,7,"09/15/83","45R",0556,0.65
1,7,"09/15/83","10R",0557,0.35
1,7,"09/15/83","22R",0557,3.90
1,7,"09/15/83","32L",0557,3.15
1,7,"09/15/83","39R",0557,2.85
1,7,"09/15/83","45R",0557,2.20
1,7,"09/15/83","10R",0558,0.00
1,7,"09/15/83","22R",0558,0.10
1,7,"09/15/83","32L",0558,0.55
1,7,"09/15/83","39R",0558,0.00
1,7,"09/15/83","45R",0558,0.30
1,7,"09/15/83","10R",0574,0.05
1,7,"09/15/83","22R",0574,0.25
1,7,"09/15/83","32L",0574,0.00
1,7,"09/15/83","39R",0574,0.05
1,7,"09/15/83","45R",0574,0.05
1,7,"09/15/83","10R",0575,0.40
1,7,"09/15/83","22R",0575,0.40
1,7,"09/15/83","32L",0575,1.30
1,7,"09/15/83","39R",0575,0.15
1,7,"09/15/83","45R",0575,0.10
1,7,"09/15/83","10R",0589,0.10
1,7,"09/15/83","22R",0589,1.50
1,7,"09/15/83","32L",0589,1.90
1,7,"09/15/83","39R",0589,2.10
